gender,usage,credit,loan,history,accounts,status,status01,loan01
1,0,8.006367567650246,7.601901959875166,0,1,0,0,1
1,0,7.313220387090301,0.0,1,21,4,1,0
1,1,8.006367567650246,0.0,3,0,3,1,0
1,1,8.006367567650246,0.0,2,10,1,1,0
0,0,7.600902459542082,0.0,0,16,0,0,0
0,1,6.907755278982137,0.0,1,6,1,1,0
1,0,7.600902459542082,0.0,0,3,4,1,0
1,0,8.006367567650246,0.0,1,17,3,1,0
1,0,8.006367567650246,0.0,1,4,0,0,0
1,1,8.987196820661973,0.0,0,1,0,0,0
1,1,8.006367567650246,0.0,0,3,0,0,0
1,1,8.006367567650246,0.0,0,1,0,0,0
0,1,8.006367567650246,0.0,1,1,0,0,0
1,1,7.600902459542082,7.483806687665835,0,5,0,0,1
1,0,8.006367567650246,0.0,1,6,1,1,0
1,1,8.006367567650246,0.0,2,3,2,1,0
1,1,8.517193191416236,0.0,0,0,4,1,0
1,1,8.517193191416236,0.0,0,1,0,0,0
0,1,8.006367567650246,0.0,2,1,4,1,0
1,1,8.517193191416236,0.0,1,3,2,1,0
1,1,7.600902459542082,0.0,3,0,4,1,0
0,0,7.600902459542082,0.0,0,5,1,1,0
0,1,8.006367567650246,0.0,0,6,0,0,0
1,1,8.006367567650246,0.0,0,0,4,1,0
1,0,8.006367567650246,0.0,4,1,2,1,0
1,0,9.210340371976182,7.458762692380959,0,5,2,1,1
1,1,8.006367567650246,0.0,0,0,0,0,0
0,0,8.517193191416236,0.0,4,13,4,1,0
1,1,7.600902459542082,8.078378103626518,1,5,2,1,1
1,1,8.006367567650246,0.0,2,0,2,1,0
1,1,7.600902459542082,0.0,0,5,0,0,0
0,0,8.536995818712416,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,0,0,2,1,0
1,1,8.294049640102028,0.0,0,0,0,0,0
1,0,8.006367567650246,0.0,11,4,3,1,0
1,1,8.006367567650246,0.0,1,4,2,1,0
1,1,9.210340371976182,0.0,0,1,0,0,0
1,0,9.210340371976182,7.6838639802564295,1,13,0,0,1
1,0,8.006367567650246,0.0,2,9,4,1,0
1,0,8.517193191416236,0.0,4,9,3,1,0
0,1,8.006367567650246,0.0,1,0,2,1,0
0,0,8.006367567650246,0.0,0,11,1,1,0
1,1,8.517193191416236,0.0,0,12,0,0,0
1,1,8.699514748210191,0.0,0,1,0,0,0
1,0,8.006367567650246,0.0,2,0,1,1,0
0,1,8.517193191416236,0.0,0,1,0,0,0
0,1,8.517193191416236,0.0,0,0,3,1,0
0,1,8.006367567650246,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,0,3,1,1,0
1,1,8.006367567650246,0.0,0,0,0,0,0
0,1,8.006367567650246,0.0,0,3,0,0,0
1,1,7.600902459542082,0.0,1,6,2,1,0
1,0,8.517193191416236,0.0,0,5,0,0,0
1,0,8.987196820661973,7.952966790923131,0,2,0,0,1
1,1,8.006367567650246,0.0,0,3,3,1,0
0,0,9.903487552536127,8.81936971001847,4,8,3,1,1
1,0,8.517193191416236,0.0,0,6,0,0,0
1,1,8.006367567650246,0.0,1,0,2,1,0
1,0,8.006367567650246,0.0,1,10,2,1,0
0,0,9.210340371976182,0.0,5,3,3,1,0
0,0,8.006367567650246,0.0,8,0,1,1,0
1,1,8.517193191416236,0.0,3,3,2,1,0
1,0,8.517193191416236,0.0,0,0,0,0,0
1,1,7.600902459542082,0.0,1,0,2,1,0
0,0,8.517193191416236,0.0,0,2,2,1,0
0,1,8.517193191416236,0.0,1,13,2,1,0
1,1,8.006367567650246,0.0,0,0,2,1,0
1,0,8.517193191416236,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,1,1,1,1,0
0,1,8.294049640102028,0.0,2,1,0,0,0
0,1,8.006367567650246,0.0,0,0,3,1,0
1,1,8.006367567650246,0.0,0,1,0,0,0
1,1,8.006367567650246,0.0,2,0,3,1,0
0,1,8.006367567650246,0.0,3,2,3,1,0
0,0,8.006367567650246,0.0,3,5,2,1,0
0,1,8.006367567650246,0.0,1,7,0,0,0
0,0,8.294049640102028,0.0,0,2,1,1,0
0,1,8.517193191416236,0.0,0,0,1,1,0
1,1,8.517193191416236,0.0,1,2,0,0,0
0,1,8.517193191416236,0.0,0,1,0,0,0
1,1,8.294049640102028,0.0,3,6,1,1,0
1,1,8.517193191416236,0.0,0,0,0,0,0
1,0,9.210340371976182,0.0,0,7,2,1,0
1,1,8.006367567650246,0.0,0,13,0,0,0
1,1,8.411832675758411,0.0,0,3,2,1,0
0,1,8.006367567650246,0.0,0,1,0,0,0
1,0,8.517193191416236,0.0,20,10,2,1,0
1,0,9.210340371976182,6.6502790485874215,0,2,0,0,1
1,1,8.294049640102028,0.0,2,0,2,1,0
1,1,8.294049640102028,0.0,6,2,2,1,0
1,1,9.210340371976182,0.0,0,5,2,1,0
0,1,8.294049640102028,0.0,0,4,3,1,0
1,0,8.517193191416236,0.0,1,8,3,1,0
0,1,9.210340371976182,9.791158367562208,0,7,1,1,1
0,1,8.006367567650246,0.0,0,3,2,1,0
1,1,8.517193191416236,0.0,0,7,0,0,0
1,0,6.907755278982137,0.0,6,4,4,1,0
1,1,8.006367567650246,0.0,2,0,2,1,0
0,0,8.699514748210191,0.0,2,7,0,0,0
1,0,8.85366542803745,0.0,2,2,2,1,0
1,1,8.006367567650246,7.220373836723949,0,5,2,1,1
1,0,8.006367567650246,0.0,0,1,2,1,0
1,1,8.517193191416236,0.0,0,5,0,0,0
1,0,8.006367567650246,0.0,2,10,4,1,0
0,1,7.313220387090301,0.0,0,6,0,0,0
1,0,8.987196820661973,8.433376705323127,5,4,4,1,1
1,0,8.699514748210191,7.259116128097101,0,11,1,1,1
0,0,9.740968623038352,0.0,1,1,0,0,0
1,0,7.600902459542082,0.0,1,4,2,1,0
1,1,8.006367567650246,0.0,0,1,0,0,0
1,1,8.517193191416236,0.0,1,3,3,1,0
1,1,8.517193191416236,0.0,0,3,0,0,0
0,1,7.600902459542082,0.0,0,0,0,0,0
1,0,8.006367567650246,7.461065514354283,0,4,4,1,1
1,0,8.294049640102028,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,3,1,2,1,0
0,1,8.517193191416236,0.0,1,1,0,0,0
0,0,8.517193191416236,0.0,6,3,1,1,0
1,1,8.517193191416236,6.900730664045172,3,3,2,1,1
0,1,9.210340371976182,0.0,0,2,2,1,0
1,0,8.517193191416236,0.0,1,9,4,1,0
0,1,8.517193191416236,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,1,17,0,0,0
1,0,8.517193191416236,0.0,0,2,2,1,0
1,1,9.615805480084347,0.0,4,5,4,1,0
1,0,8.517193191416236,0.0,2,4,1,1,0
1,1,9.615805480084347,7.10085190894405,0,0,2,1,1
1,1,8.517193191416236,0.0,0,0,2,1,0
0,0,9.210340371976182,9.163353580751846,1,6,3,1,1
1,0,9.546812608597396,0.0,0,5,4,1,0
1,0,7.600902459542082,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,0,1,0,0,0
1,0,7.600902459542082,0.0,7,5,2,1,0
0,1,8.006367567650246,0.0,0,0,1,1,0
0,1,9.210340371976182,0.0,1,11,0,0,0
0,0,10.819778284410283,0.0,0,1,0,0,0
0,1,8.006367567650246,0.0,0,0,0,0,0
1,1,9.210340371976182,9.12913031655064,2,13,0,0,1
1,1,8.006367567650246,0.0,0,1,0,0,0
1,0,7.600902459542082,0.0,3,7,3,1,0
1,1,8.517193191416236,0.0,1,0,2,1,0
0,1,8.006367567650246,0.0,0,1,0,0,0
1,0,8.517193191416236,0.0,0,26,0,0,0
1,1,8.517193191416236,0.0,3,7,2,1,0
1,1,8.517193191416236,0.0,0,2,0,0,0
1,1,8.006367567650246,0.0,0,0,0,0,0
0,0,9.210340371976182,0.0,5,4,3,1,0
1,0,7.600902459542082,0.0,4,0,2,1,0
1,1,8.517193191416236,0.0,5,1,0,0,0
1,1,8.517193191416236,0.0,4,1,3,1,0
0,1,8.517193191416236,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,0,1,1,1,0
0,1,8.006367567650246,0.0,3,2,2,1,0
0,1,9.210340371976182,0.0,0,1,0,0,0
